qid;query;expanded_queries
PLAIN-2;do cholesterol statin drugs cause breast cancer;['1. Does taking statins increase my risk of developing breast cancer?', '2. Are statins linked with an increased likelihood of breast cancer occurrence?', '3. Could statins contribute to the development of breast cancer?', '4. Is there a correlation between statin use and breast cancer incidence?', '5. Do statins put people at higher risk for breast cancer?', '6. Could statins be associated with an elevated chance of getting breast cancer?', '7. Might statins be connected with a higher probability of breast cancer onset?', '8. Can statins potentially lead to an increased chance of breast cancer?', '9. Is it true that statins may influence the risk of developing breast cancer?']
PLAIN-12;exploiting autophagy to live longer;['1. Improving longevity through autophagic processes', '2. Strategies for extending life using autophagy mechanisms', '3. Enhancing lifespan via autophagy activation techniques', '4. Autophagy-based interventions for extended healthspan', '5. Methods of increasing longevity utilizing autophagy pathways', '6. Longevity enhancement with autophagy-driven therapies', '7. Techniques for prolonging life by autophagy exploitation', '8. Strategies for boosting longevity employing autophagy approaches', '9. Longevity promotion through autophagy-focused methods']
PLAIN-23;how to reduce exposure to alkylphenols through your diet;['1. Strategies for minimizing intake of alkylphenols in daily meals', '2. Methods for reducing consumption of alkylphenol-containing foods', '3. Techniques for decreasing alkylphenol presence in dietary choices', '4. Tips for lowering alkylphenol content in food items consumed', '5. Ways to cut down on alkylphenol presence in your diet plan', '6. Steps towards cutting back on alkylphenol ingestion in eating habits', '7. Approaches for diminishing alkylphenol levels in your dietary intake', '8. Means for curbing alkylphenol concentration in your food selections', '9. Actions to decrease alkylphenol level in your meal plans']
PLAIN-33;what’s driving america’s obesity problem;"[""1. What causes America's growing obesity epidemic?"", ""2. Factors contributing to America's obesity crisis."", '3. Causes of obesity in America explained.', ""4. Driving forces behind America's obesity problem."", '5. Obesity trend analysis in America.', '6. Why is America so obese?', '7. How does America become overweight?', ""8. The root causes of America's obesity issue."", ""9. Understanding the reasons for America's obesity increase.""]"
PLAIN-44;who should be careful about curcumin;['1. Who are at risk when consuming curcumin?', '2. What precautions do individuals need to take with curcumin intake?', '3. How can one ensure safe consumption of curcumin supplements?', '4. Which groups might experience adverse reactions from curcumin?', '5. In what situations is it advisable to use caution with curcumin?', '6. Are there specific populations who should avoid curcumin due to health concerns?', '7. For whom might curcumin pose a higher risk during certain periods?', '8. Who needs extra vigilance regarding curcumin intake for optimal health benefits?', '9. In which circumstances would cautiousness towards curcumin be recommended?']
PLAIN-56;foods for glaucoma;['1. Foods beneficial for managing glaucoma', '2. Nutritional choices for reducing glaucoma symptoms', '3. Diet tips for individuals with glaucoma', '4. Food recommendations for controlling glaucoma progression', '5. Healthy eating suggestions for people with glaucoma', '6. Best foods for managing eye pressure in glaucoma patients', '7. Dietary options for alleviating glaucoma-related discomfort', '8. Recommended meals for those suffering from glaucoma', '9. Foods that aid in lowering intraocular pressure in glaucoma sufferers']
PLAIN-68;what is actually in chicken nuggets;"['1. What are the contents of a typical chicken nugget?', ""2. How do you determine what's inside chicken nuggets?"", ""3. Can you explain what's inside a chicken nugget?"", '4. What ingredients make up a chicken nugget?', ""5. What's inside each individual piece of chicken nugget?"", '6. Describe the components within a chicken nugget.', '7. What’s really inside chicken nuggets?', '8. What is found inside a regular chicken nugget?', '9. Identify all the elements contained in a chicken nugget.']"
PLAIN-78;what do meat purge and cola have in common;['1. What ingredients are shared by meat purges and carbonated beverages?', '2. How similar are the nutritional compositions of meat purges and sodas?', '3. What elements do both meat purges and colas contain in common?', '4. Which substances do meat purges and soda share?', '5. What components do meat cleansers and soft drinks have in common?', '6. In what way do meat decontaminants and sugary drinks overlap?', '7. Which substances are present in both types of cleansing products and carbonated drinks?', '8. What compounds are found in meat cleaners and carbonated beverages alike?', '9. In what respect do meat sanitizers and sweetened drinks coincide?']
PLAIN-91;chronic headaches and pork parasites;"['1. ""pork parasite symptoms""', '2. ""chronic headaches from pork parasites""', '3. ""how do you get pork parasites?""', '4. ""chronic headache causes of pork parasites""', '5. ""symptoms of chronic pork parasite infection""', '6. ""chronic pain associated with pork parasites""', '7. ""chronic headache treatment for pork parasites""', '8. ""chronic pork parasite infections symptoms""', '9. ""chronic headache triggers of pork parasites""']"
PLAIN-102;stopping heart disease in childhood;['1. Preventing childhood heart diseases', '2. Reducing risk of childhood heart problems', '3. Early intervention for childhood heart issues', '4. Childhood heart health preservation methods', '5. Heart disease prevention for children', '6. Strategies to stop childhood heart conditions', '7. Child heart disease mitigation techniques', '8. Ways to prevent childhood heart troubles', '9. Measures against childhood heart ailments']
